tstamp	src_city_place	src_city_user	src_city	dest_city	tweet	sentiment
Tue Jul 08 01:17:37 +0000 2014	None	u'NAU Class of 2018'	None	seattle	u"if anyone's in seattle could you be a peach and bring me some of ivars world famous clam chowder in a bread bowl pls &amp; ty"	0.5
Tue Jul 08 01:17:37 +0000 2014	None	u'Indianapolis, IN'	indianapolis	indianapolis	u'#Job #Indianapolis Client Relations Assistant: Indianapolis The Job Window is looking to fill a new opportunit... http://t.co/u7lxQFloxo'	0.136363636364
Tue Jul 08 01:17:37 +0000 2014	None	None	None	chicago	u'RT @chancetherapper: Headlining Lollapalooza in Chicago Sunday night August 3rd at 8:30pm FREE LIVE WEB BROADCAST AVAILABLE\u2026 http://t.co/y5\u2026'	0.178787878788
Tue Jul 08 01:17:37 +0000 2014	None	u'Rio de Janeiro, RJ'	None	helena	u'Helena Ranaldi e Gianecchini distribuindo beleza na minha tv, t\xf4 at\xe9 ofendida    Vai Ter Casamento Clarina Sim'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'19114'	None	philadelphia	u'@RodeoChat 19114.  Philadelphia. Woo hoo'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Indianapolis, IN'	indianapolis	indianapolis	u'#Job #Indianapolis Special Events Assistant: Indianapolis The Job Window is seeking an entry level candidate t... http://t.co/q7d7B2p4VY'	0.357142857143
Tue Jul 08 01:17:37 +0000 2014	None	u'Cordoba-Argentina'	None	None	u'Weeena Mama Lucinda!!! Paso de un tiradero a usar una tablet en el Luna Park #AvenidaBrasil'	0.0
Tue Jul 08 01:17:37 +0000 2014	u'miami'	u'Miami, FL'	miami	miami	u'Working on some tunes and practicing beats @ Miami, Florida http://t.co/aX4EAPjBAD'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Portland, OR'	portland	washington	u'Retailers ready to sell pot in Washington State: The prohibition against selling pot on the retail market is over... http://t.co/2zYbsbbuZs'	0.2
Tue Jul 08 01:17:37 +0000 2014	None	u'Bloomfield Hills, MI'	None	detroit	u'Traveler with Knife \u2018Artfully Concealed\u2019 in Shoe Detained at Detroit Airport http://t.co/RZNUEQKaSI'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	None	None	helena	u'RT @OficialBHTRANS: 22h15 Tr\xe2nsito bom na P\xe7a Raul soares, no Elevado D. Helena Greco, na Av. Pedro II, na Av. Carlos Luz.'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Indianapolis, IN'	indianapolis	indianapolis	u'#Job #Indianapolis CDL Truck Driver - Midwest Regional Fleet - Meat Distribution: Greenwood CDL-A Truck Driver... http://t.co/Z1l1wiCup7'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'liam boy since 17.03.2011'	None	mesa	u'RT @gordinhodadepre: Comer com o prato apoiado na barriga, uma arte que poucos conseguem. Ser gordo tem l\xe1 suas vantagens, mesa \xe9 pros frac\u2026'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Indianapolis, IN'	indianapolis	indianapolis	u'#Job #Indianapolis Training Coordinator: Indianapolis Job Title: Training Coordinator, Location: Indianapolis,... http://t.co/V9MDfAfQTH'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Tobacco Road'	None	memphis	u'Man, the dad from Harry and the Hendersons is in Memphis Belle and I still hated this growing up?'	-0.9
Tue Jul 08 01:17:37 +0000 2014	None	None	None	madison	u'Hiking Mt. Madison and maybe Mt. Adams tomorrow'	0.0
Tue Jul 08 01:17:37 +0000 2014	None	None	None	hartford	u"@MileyCyrus it's me again. She has been to all of you will see us you tube search the climb in Hartford. We are the ones with flowers for u"	0.0
Tue Jul 08 01:17:37 +0000 2014	None	u'Squaw Valley, CA'	None	fresno	u'RT @MaMoosie: Hey #Fresno (Map of Woodward Park)  3 Ponds &amp; stream -Good luck finding @HiddenCash #BeKind #PayItForward http://t.co/90FOOpf\u2026'	0.7
Tue Jul 08 01:17:37 +0000 2014	None	u'Miami, Florida'	miami	miami	u'Initial unemployment claims drop http://t.co/vBr8y06SZH #miami'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	u'30314 '	None	atlanta	u"RT @Rivablue: aka Rivablue.....Listen to WIN tickets with us Morris Baxter, Jamal Ahmad  Jazz 91.9 WCLK, Atlanta's Jazz Station... http://t\u2026"	0.8
Tue Jul 08 01:17:37 +0000 2014	None	u'Santo Domingo'	None	san francisco	u"RT @CapitalOne: You always wanted to see San Francisco Bay, and with Venture's #YesMiles, you can fly any day. http://t.co/pr70NTjZAY"	0.8
Tue Jul 08 01:17:38 +0000 2014	None	None	None	columbus	u'RT @NYDailyNews: Do you know this cutie? Her ma left her at the Columbus Circle station &amp; jumped on the subway. http://t.co/j1ICf4DdUt http\u2026'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	None	u'Tremendas cumbiachas me paso el nano jaja, que personaje !! @JuanCruzDaveiga'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	miami	u"RT @EstadisticasNBA: LeBron quita 'Miami' de su perfil y comparte 'LaFamilia' con Irving y T.Thompson. \xbfVuelta a Cavs? http://t.co/hJurhPJm\u2026"	0.0
Tue Jul 08 01:17:38 +0000 2014	None	u'Texas'	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	los angeles	u'rezando pro justin estar em los angeles enquanto eu estiver la \U0001f64f'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	u'Texas'	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	u'818 | CA'	None	jackson	u'Man, I miss Michael Jackson.. #KingOfPop'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	u'Nashville, TN'	nashville	nashville	u'RT @DarringtonsTrip: \U0001f629"@iLuvNinaRoss: Nashville females are probably the pettiest and messiest women I\'ve ever encountered in life."'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	san francisco	u"RT @CapitalOne: You always wanted to see San Francisco Bay, and with Venture's #YesMiles, you can fly any day. http://t.co/pr70NTjZAY"	0.8
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	u'\u2605\u2022\u25c7 \u221eM\u0454j!c\xf6\u300b\u2022\u2022\u2661'	None	austin	u'RT @Coliseo_Yucatan: No te quedes sin ver a Austin Mahone, por primera vez en M\xe9rida! Adquiere tus boletos a trav\xe9s del siguiente enlace: h\u2026'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	u'Newport l Boston'	boston	san francisco	u'I want to go to San Francisco so bad'	-0.7
Tue Jul 08 01:17:38 +0000 2014	None	None	None	atlanta	u"RT @Lyrical_high_: I live in Atlanta and I still ain't been on that Ferris wheel lol #LHHATL"	0.468181818182
Tue Jul 08 01:17:38 +0000 2014	None	u'Caracas, Venezuela'	None	washington	u'RT @RunRunesWeb: Washington da licencias para venta legal de marihuana - http://t.co/3rw8KDp8UK'	0.2
Tue Jul 08 01:17:38 +0000 2014	None	None	None	milwaukee	u'RT @KalinWhite: Milwaukee had me like \U0001f60d\n#Freckles \U0001f633 http://t.co/WuBrwpORX0'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	madison	u'xxx clips : Madison and her big tits fight to be TOTY  #sex #movie #hot #iPhone http://t.co/7SIZ36uDPo'	0.125
Tue Jul 08 01:17:38 +0000 2014	None	u'USA'	None	washington	u'Washington Has Gone Completely Mad! http://t.co/qy8tAIXWjH'	-0.78125
Tue Jul 08 01:17:38 +0000 2014	None	None	None	houston	u'RT @_PatJohnson_: FREE TOURS SEE THE USA Fly to California, see #Murrieta by bus, then fly to Houston, then fly to #Murrietta, then... http\u2026'	0.7
Tue Jul 08 01:17:38 +0000 2014	None	u'Atlanta, Georgia, USA'	atlanta	atlanta	u'#Atlanta #Jobs Traffic Manager with agency exp for ASAP C2H job in Atlanta! at The Creative... http://t.co/y7j5kX5M0l #Job #AtlantaJobs'	0.5
Tue Jul 08 01:17:38 +0000 2014	None	u'Franklin, IN'	None	cleveland	u'Cleveland is threatening to make it a ball game babay'	-0.4
Tue Jul 08 01:17:38 +0000 2014	None	u'Asgard'	None	arlington	u'Anybody going to see Beyonc\xe9 in Arlington?'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	columbus	u'RT @NYPDnews: Help us ID this child. Abandoned at 59 St &amp; Columbus Ave subway stn on 7/7. Last seen w/ F/20s. Call #800577TIPS http://t.co/\u2026'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	None	u'La dulzura se convirti\xf3 en amargura, el calor paso a ser lo mas frio, la compa\xf1ia paso a ser soledad y el deseo se convirti\xf3 en orgullo'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	chicago	u'I seriously think Chicago is the the best fit for Melo...'	0.355555555556
Tue Jul 08 01:17:38 +0000 2014	None	u'Jah Bless'	None	augusta	u'da lapa at\xe9 augusta'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	cleveland	u'@BraydonVatter1 its in cleveland right?'	0.285714285714
Tue Jul 08 01:17:38 +0000 2014	None	u'with T'	None	miami	u'RT @_blavkanese: "@IAmThe_Ceo: Miami Killing Rate Just Rising \U0001f612"'	0.0
Tue Jul 08 01:17:38 +0000 2014	u'los angeles'	u'hollywood'	los angeles	los angeles	u"I'm at Target (Beverly Connection) (Los Angeles, CA) w/ 2 others https://t.co/eB7uTyTQ1W"	0.0
Tue Jul 08 01:17:38 +0000 2014	None	u'Pompano Beach, FL'	None	miami	u"Our July issues are all around town! Stop by Auto Tech and Body, Inc., Miami Blues, Razzleberry's Ice Cream, Pink... http://t.co/3UWAozQJ2j"	-0.1
Tue Jul 08 01:17:39 +0000 2014	None	None	None	washington	u'o mejor que llegue el verano para irme a cordoba con zumerland y a washington con uma\nsigo fantaseando BESOS ROSA'	0.0
Tue Jul 08 01:17:38 +0000 2014	None	None	None	philadelphia	u'#Tehran social security company workers on strike http://t.co/aBv60Lpafy #newsfeed #Tunis #Philadelphia #NoNuclearIran'	0.0333333333333
Tue Jul 08 01:17:39 +0000 2014	None	u'Hopeless Romantic '	None	columbus	u'Columbus Short Get\u2019s Arrested over The Fourth of July\xa0Weekend. http://t.co/dzBmrzjgct'	0.0
Tue Jul 08 01:17:39 +0000 2014	None	u'\xb0EARTH AND SOMETIMES MARS\xb0'	None	baltimore	u'RT @Bey_Legion: Beyonc\xe9 &amp; Jay Z have just hit the stage! #OnTheRunTour #Baltimore http://t.co/RotzNvs0DL'	0.0
Tue Jul 08 01:17:39 +0000 2014	None	u'Earth......Temporarily'	None	new orleans	u"RT @Mz_Bee_Real: Y'all don't know how long I've been wanting to go to New Orleans"	0.0431818181818
Tue Jul 08 01:17:39 +0000 2014	None	None	None	jackson	u'RT @OMGFacts: Andrew Jackson was the first, last, and only US President to pay off the entire national debt. --&gt; http://t.co/3q0vSGjwMK'	0.0625
Tue Jul 08 01:17:39 +0000 2014	u'santa catarina'	u'Brasil'	None	helena	u'@rafaelvebr Prefiro a Helena Ranaldi... hehehe'	0.0
Tue Jul 08 01:17:39 +0000 2014	None	None	None	None	u'RT @AboutTheShow: "I love that the cast chemistry is palpable in every episode, also that it makes me laugh really hard, and all team austi\u2026'	0.127083333333
Tue Jul 08 01:17:39 +0000 2014	None	u'Las Vegas'	las vegas	san diego	u'RT @AmyMek: #SendThemBack! Breaking: Third immigrant plane to arrive in San Diego http://t.co/ypbvxd7OEa #tcot #teaparty'	0.0
Tue Jul 08 01:17:39 +0000 2014	None	u'United States'	None	new york	u'Check out Yankees New York Baseball Fan attire size S full zip Track Suite Blue  #NewYorkYankees http://t.co/vGuOXUZYqO via @eBay'	0.162121212121
Tue Jul 08 01:17:39 +0000 2014	None	None	None	austin	u'Austin is the best twin brother #frat #laxbro #pullssohard #laxislife #cool #helooksjustlikeme'	0.675
Tue Jul 08 01:17:39 +0000 2014	None	None	None	chicago	u'#Hub51 #chicago'	0.0
